C/A,YDS,TD,INT,CAR,YDS,TD,REC,YDS,TD,TAR,%ROST,+/-,TOT,AVG
259/427,2944,15,10,27,93,1,0,0,0,0,1.6,-0.1,170.9,15.5
0/0,0,0,0,2,12,0,58,820,5,104,88.6,-0.5,170.9,11.4
0/0,0,0,0,211,836,6,26,208,1,34,91,0.5,167.3,12
0/0,0,0,0,2,11,0,56,818,5,101,65.1,0.6,166.6,11.1
0/0,0,0,0,2,13,0,56,741,6,86,81.2,2,166.6,11.1
0/0,0,0,0,4,14,0,62,681,5,98,96.6,-0.3,165.8,11.8
0/0,0,0,0,144,611,5,37,310,1,50,82.3,-2.5,165.6,11.8
0/0,0,0,0,0,0,0,53,821,5,98,42.3,1.8,165.5,11
0/0,0,0,0,0,0,0,54,787,5,92,78.5,-2.2,165.4,11
0/0,0,0,0,122,510,6,41,303,1,51,42.4,5.3,164.4,11.7
0/0,0,0,0,12,69,0,59,699,4,99,52.7,0.4,163.2,10.9
0/0,0,0,0,15,104,0,58,658,4,91,68.8,-6.3,162.5,10.8
0/0,0,0,0,8,50,0,55,798,4,92,85,3.2,162.2,10.8
0/0,0,0,0,0,0,0,53,774,5,84,13.6,0,158.8,10.6
0/0,0,0,0,207,888,5,21,156,1,29,62.6,1.9,158.6,11.3
0/0,0,0,0,4,21,0,60,745,4,96,27.6,-4.3,157.9,10.5
0/0,0,0,0,0,0,0,61,716,4,88,15.8,-1.1,157.4,10.5
0/0,0,0,0,2,11,0,48,783,5,94,18.6,3.7,155.6,10.4
223/350,2353,13,8,33,176,1,0,0,0,0,2.7,0,153.9,17.1
0/0,0,0,0,0,0,0,47,816,4,90,60.6,-6.7,153.7,10.2
0/0,0,0,0,0,0,0,49,790,4,85,39.6,4.8,151.6,11.7
0/0,0,0,0,162,723,4,31,205,1,40,85.8,-2.8,151.6,10.8
0/0,0,0,0,3,17,0,61,643,4,91,2.4,0.1,150.7,10
0/0,0,0,0,0,0,0,46,656,6,70,92.5,0.9,150.2,10
0/0,0,0,0,15,99,1,50,593,5,90,46.5,-7.5,150.1,10
0/0,0,0,0,0,0,0,58,625,5,85,29.5,-1.3,149.4,10
0/0,0,0,0,0,0,0,48,753,4,78,9.7,-0.1,148.8,9.9
0/0,0,0,0,13,69,0,53,631,4,80,18,-3.7,147.8,9.9
0/0,0,0,0,7,45,0,56,601,4,88,2.8,0.1,147.5,9.8
0/0,0,0,0,0,0,0,0,0,0,0,99.6,0.1,146.8,9.2
0/0,0,0,0,5,25,0,46,661,5,72,59.5,-1.9,146.5,9.8
0/0,0,0,0,76,351,1,47,421,2,63,59.4,-5.3,145.9,10.4
0/0,0,0,0,113,467,2,42,318,2,54,30.2,1.5,145.8,10.4
0/0,0,0,0,0,0,0,58,597,5,85,56.7,9.9,145.6,9.7
0/0,0,0,0,4,22,0,49,698,4,78,49,-2,143,10.2
0/0,0,0,0,0,0,0,60,675,3,89,3.2,-0.2,142.3,10.2
0/0,0,0,0,0,0,0,0,0,0,0,99.4,0,141.9,8.9
0/0,0,0,0,0,0,0,53,574,5,72,93.7,0.2,141.6,9.4
0/0,0,0,0,0,0,0,53,629,4,80,92.7,0.4,141,10.1
0/0,0,0,0,0,0,0,53,627,4,84,70.5,4.1,140.6,9.4
0/0,0,0,0,0,0,0,57,624,3,89,13,-1.7,138.6,9.2
0/0,0,0,0,0,0,0,0,0,0,0,99.5,-0.1,138.6,8.7
0/0,0,0,0,146,606,5,25,187,1,32,37.6,2.7,137.1,9.8
0/0,0,0,0,0,0,0,0,0,0,0,98.9,0.2,135.9,8.5
0/0,0,0,0,0,0,0,0,0,0,0,95.7,1,135.4,8.5
0/0,0,0,0,60,248,2,49,390,2,64,8.8,1.3,135.2,9.7
